date,program_type,vacancies_per_day,beds_per_day,percent_vacant_per_day,year,month,day,percent_occupied_per_day
2019-12-23,Transitional Independent Living (TIL),71,493,14.4,2019,12,23,85.6
2019-12-24,Transitional Independent Living (TIL),71,493,14.4,2019,12,24,85.6
2019-12-25,Transitional Independent Living (TIL),72,493,14.6,2019,12,25,85.4
2019-12-26,Transitional Independent Living (TIL),73,493,14.81,2019,12,26,85.19
2019-12-27,Transitional Independent Living (TIL),71,493,14.4,2019,12,27,85.6
2019-12-28,Transitional Independent Living (TIL),71,493,14.4,2019,12,28,85.6
2019-12-29,Transitional Independent Living (TIL),72,493,14.6,2019,12,29,85.4
2019-12-30,Transitional Independent Living (TIL),74,493,15.01,2019,12,30,84.99
2019-12-31,Transitional Independent Living (TIL),69,493,14,2019,12,31,86
2020-01-01,Transitional Independent Living (TIL),66,493,13.39,2020,1,1,86.61
2020-01-02,Transitional Independent Living (TIL),67,493,13.59,2020,1,2,86.41
2020-01-03,Transitional Independent Living (TIL),65,493,13.18,2020,1,3,86.82
2020-01-04,Transitional Independent Living (TIL),67,493,13.59,2020,1,4,86.41
2020-01-05,Transitional Independent Living (TIL),68,493,13.79,2020,1,5,86.21000000000001
2020-01-06,Transitional Independent Living (TIL),67,493,13.59,2020,1,6,86.41
2020-01-07,Transitional Independent Living (TIL),67,493,13.59,2020,1,7,86.41
2020-01-08,Transitional Independent Living (TIL),66,493,13.39,2020,1,8,86.61
2020-01-09,Transitional Independent Living (TIL),63,493,12.78,2020,1,9,87.22
2020-01-10,Transitional Independent Living (TIL),59,493,11.97,2020,1,10,88.03
2020-01-11,Transitional Independent Living (TIL),60,493,12.17,2020,1,11,87.83
2020-01-12,Transitional Independent Living (TIL),62,493,12.58,2020,1,12,87.42
2020-01-13,Transitional Independent Living (TIL),59,493,11.97,2020,1,13,88.03
2020-01-14,Transitional Independent Living (TIL),56,493,11.36,2020,1,14,88.64
2020-01-15,Transitional Independent Living (TIL),52,493,10.55,2020,1,15,89.45
2020-01-16,Transitional Independent Living (TIL),49,493,9.94,2020,1,16,90.06
2020-01-17,Transitional Independent Living (TIL),51,493,10.34,2020,1,17,89.66
2020-01-18,Transitional Independent Living (TIL),51,493,10.34,2020,1,18,89.66
2020-01-19,Transitional Independent Living (TIL),52,493,10.55,2020,1,19,89.45
2020-01-20,Transitional Independent Living (TIL),54,493,10.95,2020,1,20,89.05
2020-01-21,Transitional Independent Living (TIL),53,493,10.75,2020,1,21,89.25
2020-01-22,Transitional Independent Living (TIL),54,493,10.95,2020,1,22,89.05
2020-01-23,Transitional Independent Living (TIL),49,493,9.94,2020,1,23,90.06
2020-01-24,Transitional Independent Living (TIL),51,493,10.34,2020,1,24,89.66
2020-01-25,Transitional Independent Living (TIL),51,493,10.34,2020,1,25,89.66
2020-01-26,Transitional Independent Living (TIL),50,493,10.14,2020,1,26,89.86
2020-01-27,Transitional Independent Living (TIL),47,493,9.53,2020,1,27,90.47
2020-01-28,Transitional Independent Living (TIL),46,493,9.33,2020,1,28,90.67
2020-01-29,Transitional Independent Living (TIL),45,493,9.13,2020,1,29,90.87
2020-01-30,Transitional Independent Living (TIL),48,493,9.74,2020,1,30,90.26
2020-01-31,Transitional Independent Living (TIL),50,493,10.14,2020,1,31,89.86
2020-02-01,Transitional Independent Living (TIL),49,493,9.94,2020,2,1,90.06
2020-02-02,Transitional Independent Living (TIL),52,493,10.55,2020,2,2,89.45
2020-02-03,Transitional Independent Living (TIL),53,493,10.75,2020,2,3,89.25
2020-02-04,Transitional Independent Living (TIL),52,493,10.55,2020,2,4,89.45
2020-02-05,Transitional Independent Living (TIL),53,493,10.75,2020,2,5,89.25
2020-02-06,Transitional Independent Living (TIL),51,493,10.34,2020,2,6,89.66
2020-02-07,Transitional Independent Living (TIL),47,493,9.53,2020,2,7,90.47
2020-02-08,Transitional Independent Living (TIL),45,493,9.13,2020,2,8,90.87
2020-02-09,Transitional Independent Living (TIL),43,493,8.72,2020,2,9,91.28
2020-02-10,Transitional Independent Living (TIL),42,493,8.52,2020,2,10,91.48
2020-02-11,Transitional Independent Living (TIL),44,493,8.92,2020,2,11,91.08
2020-02-12,Transitional Independent Living (TIL),45,493,9.13,2020,2,12,90.87
2020-02-13,Transitional Independent Living (TIL),43,493,8.72,2020,2,13,91.28
2020-02-14,Transitional Independent Living (TIL),43,493,8.72,2020,2,14,91.28
2020-02-15,Transitional Independent Living (TIL),44,493,8.92,2020,2,15,91.08
2020-02-16,Transitional Independent Living (TIL),44,494,8.91,2020,2,16,91.09
2020-02-17,Transitional Independent Living (TIL),45,494,9.11,2020,2,17,90.89
2020-02-18,Transitional Independent Living (TIL),46,494,9.31,2020,2,18,90.69
2020-02-19,Transitional Independent Living (TIL),46,494,9.31,2020,2,19,90.69
2020-02-20,Transitional Independent Living (TIL),48,494,9.72,2020,2,20,90.28
2020-02-21,Transitional Independent Living (TIL),48,494,9.72,2020,2,21,90.28
2020-02-22,Transitional Independent Living (TIL),46,494,9.31,2020,2,22,90.69
2020-02-23,Transitional Independent Living (TIL),46,494,9.31,2020,2,23,90.69
2020-02-24,Transitional Independent Living (TIL),47,494,9.51,2020,2,24,90.49
2020-02-25,Transitional Independent Living (TIL),46,494,9.31,2020,2,25,90.69
2020-02-26,Transitional Independent Living (TIL),50,494,10.12,2020,2,26,89.88
2020-02-27,Transitional Independent Living (TIL),48,494,9.72,2020,2,27,90.28
2020-02-28,Transitional Independent Living (TIL),48,494,9.72,2020,2,28,90.28
2020-02-29,Transitional Independent Living (TIL),50,494,10.12,2020,2,29,89.88
2020-03-01,Transitional Independent Living (TIL),49,494,9.92,2020,3,1,90.08
2020-03-02,Transitional Independent Living (TIL),47,494,9.51,2020,3,2,90.49
2020-03-03,Transitional Independent Living (TIL),44,494,8.91,2020,3,3,91.09
2020-03-04,Transitional Independent Living (TIL),38,494,7.69,2020,3,4,92.31
2020-03-05,Transitional Independent Living (TIL),35,494,7.09,2020,3,5,92.91
2020-03-06,Transitional Independent Living (TIL),33,494,6.68,2020,3,6,93.32
2020-03-07,Transitional Independent Living (TIL),33,494,6.68,2020,3,7,93.32
2020-03-08,Transitional Independent Living (TIL),37,494,7.49,2020,3,8,92.51
2020-03-09,Transitional Independent Living (TIL),37,494,7.49,2020,3,9,92.51
2020-03-10,Transitional Independent Living (TIL),38,494,7.69,2020,3,10,92.31
2020-03-11,Transitional Independent Living (TIL),37,494,7.49,2020,3,11,92.51
2020-03-12,Transitional Independent Living (TIL),35,494,7.09,2020,3,12,92.91
2020-03-13,Transitional Independent Living (TIL),39,494,7.89,2020,3,13,92.11
2020-03-14,Transitional Independent Living (TIL),38,494,7.69,2020,3,14,92.31
2020-03-15,Transitional Independent Living (TIL),39,494,7.89,2020,3,15,92.11
2020-03-16,Transitional Independent Living (TIL),40,494,8.1,2020,3,16,91.9
2020-03-17,Transitional Independent Living (TIL),41,494,8.3,2020,3,17,91.7
2020-03-18,Transitional Independent Living (TIL),44,494,8.91,2020,3,18,91.09
2020-03-19,Transitional Independent Living (TIL),44,494,8.91,2020,3,19,91.09
2020-03-20,Transitional Independent Living (TIL),42,494,8.5,2020,3,20,91.5
2020-03-21,Transitional Independent Living (TIL),43,494,8.7,2020,3,21,91.3
2020-03-22,Transitional Independent Living (TIL),43,494,8.7,2020,3,22,91.3
2020-03-23,Transitional Independent Living (TIL),45,494,9.11,2020,3,23,90.89
2020-03-24,Transitional Independent Living (TIL),49,494,9.92,2020,3,24,90.08
2020-03-25,Transitional Independent Living (TIL),50,494,10.12,2020,3,25,89.88
2020-03-26,Transitional Independent Living (TIL),48,494,9.72,2020,3,26,90.28
2020-03-27,Transitional Independent Living (TIL),51,494,10.32,2020,3,27,89.68
2020-03-28,Transitional Independent Living (TIL),49,494,9.92,2020,3,28,90.08
2020-03-29,Transitional Independent Living (TIL),52,494,10.53,2020,3,29,89.47
2020-03-30,Transitional Independent Living (TIL),53,494,10.73,2020,3,30,89.27
2020-03-31,Transitional Independent Living (TIL),55,494,11.13,2020,3,31,88.87
2020-04-01,Transitional Independent Living (TIL),58,494,11.74,2020,4,1,88.26
2020-04-02,Transitional Independent Living (TIL),58,494,11.74,2020,4,2,88.26
2020-04-03,Transitional Independent Living (TIL),58,494,11.74,2020,4,3,88.26
2020-04-04,Transitional Independent Living (TIL),59,494,11.94,2020,4,4,88.06
2020-04-05,Transitional Independent Living (TIL),61,494,12.35,2020,4,5,87.65
2020-04-06,Transitional Independent Living (TIL),62,494,12.55,2020,4,6,87.45
2020-04-07,Transitional Independent Living (TIL),65,494,13.16,2020,4,7,86.84
2020-04-08,Transitional Independent Living (TIL),64,494,12.96,2020,4,8,87.03999999999999
2020-04-09,Transitional Independent Living (TIL),66,494,13.36,2020,4,9,86.64
2020-04-10,Transitional Independent Living (TIL),71,494,14.37,2020,4,10,85.63
2020-04-11,Transitional Independent Living (TIL),71,494,14.37,2020,4,11,85.63
2020-04-12,Transitional Independent Living (TIL),71,494,14.37,2020,4,12,85.63
2020-04-13,Transitional Independent Living (TIL),70,494,14.17,2020,4,13,85.83
2020-04-14,Transitional Independent Living (TIL),72,494,14.57,2020,4,14,85.43
2020-04-15,Transitional Independent Living (TIL),74,494,14.98,2020,4,15,85.02
2020-04-16,Transitional Independent Living (TIL),75,494,15.18,2020,4,16,84.82
2020-04-17,Transitional Independent Living (TIL),77,494,15.59,2020,4,17,84.41
2020-04-18,Transitional Independent Living (TIL),80,494,16.19,2020,4,18,83.81
2020-04-19,Transitional Independent Living (TIL),79,494,15.99,2020,4,19,84.01
2020-04-20,Transitional Independent Living (TIL),81,494,16.4,2020,4,20,83.6
2020-04-21,Transitional Independent Living (TIL),84,494,17,2020,4,21,83
2020-04-22,Transitional Independent Living (TIL),80,494,16.19,2020,4,22,83.81
2020-04-23,Transitional Independent Living (TIL),80,494,16.19,2020,4,23,83.81
2020-04-24,Transitional Independent Living (TIL),81,494,16.4,2020,4,24,83.6
2020-04-25,Transitional Independent Living (TIL),82,494,16.6,2020,4,25,83.4
2020-04-26,Transitional Independent Living (TIL),80,494,16.19,2020,4,26,83.81
2020-04-27,Transitional Independent Living (TIL),78,494,15.79,2020,4,27,84.21000000000001
2020-04-28,Transitional Independent Living (TIL),79,494,15.99,2020,4,28,84.01
2020-04-29,Transitional Independent Living (TIL),81,494,16.4,2020,4,29,83.6
2020-04-30,Transitional Independent Living (TIL),81,494,16.4,2020,4,30,83.6
2020-05-01,Transitional Independent Living (TIL),82,494,16.6,2020,5,1,83.4
2020-05-02,Transitional Independent Living (TIL),82,494,16.6,2020,5,2,83.4
2020-05-03,Transitional Independent Living (TIL),82,494,16.6,2020,5,3,83.4
2020-05-04,Transitional Independent Living (TIL),80,494,16.19,2020,5,4,83.81
2020-05-05,Transitional Independent Living (TIL),83,494,16.8,2020,5,5,83.2
2020-05-06,Transitional Independent Living (TIL),79,494,15.99,2020,5,6,84.01
2020-05-07,Transitional Independent Living (TIL),80,494,16.19,2020,5,7,83.81
2020-05-08,Transitional Independent Living (TIL),82,494,16.6,2020,5,8,83.4
2020-05-09,Transitional Independent Living (TIL),85,494,17.21,2020,5,9,82.78999999999999
2020-05-10,Transitional Independent Living (TIL),86,494,17.41,2020,5,10,82.59
2020-05-11,Transitional Independent Living (TIL),86,494,17.41,2020,5,11,82.59
2020-05-12,Transitional Independent Living (TIL),84,494,17,2020,5,12,83
2020-05-13,Transitional Independent Living (TIL),81,494,16.4,2020,5,13,83.6
2020-05-14,Transitional Independent Living (TIL),81,494,16.4,2020,5,14,83.6
2020-05-15,Transitional Independent Living (TIL),80,494,16.19,2020,5,15,83.81
2020-05-16,Transitional Independent Living (TIL),80,494,16.19,2020,5,16,83.81
2020-05-17,Transitional Independent Living (TIL),79,494,15.99,2020,5,17,84.01
2020-05-18,Transitional Independent Living (TIL),78,494,15.79,2020,5,18,84.21000000000001
2020-05-19,Transitional Independent Living (TIL),69,494,13.97,2020,5,19,86.03
2020-05-20,Transitional Independent Living (TIL),66,494,13.36,2020,5,20,86.64
2020-05-21,Transitional Independent Living (TIL),67,494,13.56,2020,5,21,86.44
2020-05-22,Transitional Independent Living (TIL),71,494,14.37,2020,5,22,85.63
2020-05-23,Transitional Independent Living (TIL),74,494,14.98,2020,5,23,85.02
2020-05-24,Transitional Independent Living (TIL),73,494,14.78,2020,5,24,85.22
2020-05-25,Transitional Independent Living (TIL),73,494,14.78,2020,5,25,85.22
2020-05-26,Transitional Independent Living (TIL),70,494,14.17,2020,5,26,85.83
2020-05-27,Transitional Independent Living (TIL),74,494,14.98,2020,5,27,85.02
2020-05-28,Transitional Independent Living (TIL),74,494,14.98,2020,5,28,85.02
2020-05-29,Transitional Independent Living (TIL),73,494,14.78,2020,5,29,85.22
2020-05-30,Transitional Independent Living (TIL),73,494,14.78,2020,5,30,85.22
2020-05-31,Transitional Independent Living (TIL),73,494,14.78,2020,5,31,85.22
2020-06-01,Transitional Independent Living (TIL),70,494,14.17,2020,6,1,85.83
2020-06-02,Transitional Independent Living (TIL),72,494,14.57,2020,6,2,85.43
2020-06-03,Transitional Independent Living (TIL),71,494,14.37,2020,6,3,85.63
2020-06-04,Transitional Independent Living (TIL),71,494,14.37,2020,6,4,85.63
2020-06-05,Transitional Independent Living (TIL),73,494,14.78,2020,6,5,85.22
2020-06-06,Transitional Independent Living (TIL),73,494,14.78,2020,6,6,85.22
2020-06-07,Transitional Independent Living (TIL),79,494,15.99,2020,6,7,84.01
2020-06-08,Transitional Independent Living (TIL),81,494,16.4,2020,6,8,83.6
2020-06-09,Transitional Independent Living (TIL),76,494,15.38,2020,6,9,84.62
2020-06-10,Transitional Independent Living (TIL),76,494,15.38,2020,6,10,84.62
